iteration,fitness
0,-0.020472144915867106
1,-0.026193726808093228
2,-0.027209831326284982
3,-0.029772609920884607
4,-0.03381405487875993
5,-0.04100409286097672
6,-0.044918821034329676
7,-0.046950847744404584
8,-0.052192546792223626
9,-0.054332328350719696
10,-0.055662034119815886
11,-0.05602723371607245
12,-0.057341988727858055
13,-0.05734290035940137
14,-0.05734290035940137
15,-0.05734290035940137
16,-0.05734290035940137
17,-0.05734290035940137
18,-0.05734290035940137
19,-0.05734290035940137
20,-0.05734290035940137
21,-0.05734290035940137
22,-0.05734290035940137
23,-0.05734290035940137
24,-0.05734290035940137
25,-0.05734290035940137
26,-0.05734290035940137
27,-0.05734290035940137
28,-0.05734290035940137
29,-0.05734290035940137
